"time","clim"
1998-01-01,0.10020629830726
1998-02-01,0.0991258939642095
1998-03-01,0.0980677557135791
1998-04-01,0.0970765276802963
1998-05-01,0.0961135480759184
1998-06-01,0.0952543516246706
1998-07-01,0.0944299915526745
1998-08-01,0.0935935324805273
1998-09-01,0.0928724897273324
1998-10-01,0.0925434962379202
1998-11-01,0.0928700326644783
1998-12-01,0.0934602990474895
1999-01-01,0.0945863099545706
1999-02-01,0.0954249362545234
1999-03-01,0.096054137188317
1999-04-01,0.0968323861077021
1999-05-01,0.0968941744279622
1999-06-01,0.0970716297397836
1999-07-01,0.0965008606983188
1999-08-01,0.0954785180992377
1999-09-01,0.0940354139841396
1999-10-01,0.092021040655958
1999-11-01,0.0903619499196656
1999-12-01,0.0889169590583742
2000-01-01,0.0882730803325107
2000-02-01,0.0880735392932945
2000-03-01,0.0882202696373691
2000-04-01,0.0884689421548855
2000-05-01,0.0886548087766086
2000-06-01,0.0890273116550966
2000-07-01,0.0891154738167491
2000-08-01,0.0894779450519325
2000-09-01,0.0896996364674355
2000-10-01,0.0899404865865462
2000-11-01,0.0907565965727508
2000-12-01,0.0913699941025653
2001-01-01,0.0924167978901094
2001-02-01,0.0931560090111721
2001-03-01,0.09358438428664
2001-04-01,0.0942407846354441
2001-05-01,0.0942857815821577
2001-06-01,0.0947038166822789
2001-07-01,0.0947394097477218
2001-08-01,0.0943766470333405
2001-09-01,0.0941954731611775
2001-10-01,0.0933038311895037
2001-11-01,0.092844147616901
2001-12-01,0.0926232401980299
2002-01-01,0.0922866851616779
2002-02-01,0.0923214645740526
2002-03-01,0.0919639321921367
2002-04-01,0.0915811254117069
2002-05-01,0.0910428918248931
2002-06-01,0.0902825392142656
2002-07-01,0.0898340633274177
2002-08-01,0.0895258440318829
2002-09-01,0.0897207485288345
2002-10-01,0.0903040584680304
2002-11-01,0.0911820293949708
2002-12-01,0.0923379859613216
2003-01-01,0.0935319483598066
2003-02-01,0.0945195015906393
2003-03-01,0.0952748826121584
2003-04-01,0.0959335315425488
2003-05-01,0.0963433313582599
2003-06-01,0.0966874252765292
2003-07-01,0.0969365729642467
2003-08-01,0.0970572404048308
2003-09-01,0.0970793559406656
2003-10-01,0.0970924608076377
2003-11-01,0.0972320183125789
2003-12-01,0.097295813660147
2004-01-01,0.0973445002738361
2004-02-01,0.0971327893933114
2004-03-01,0.0965532653309189
2004-04-01,0.0957248526153
2004-05-01,0.0945826931100588
2004-06-01,0.0935848717507125
2004-07-01,0.0924628834288422
2004-08-01,0.0913092216836871
2004-09-01,0.0902970849259156
2004-10-01,0.0890247936779256
2004-11-01,0.088047182702413
2004-12-01,0.0874273585291408
2005-01-01,0.0869755713322899
2005-02-01,0.0867526637449108
2005-03-01,0.0865235286843182
2005-04-01,0.086225121270766
2005-05-01,0.0858777863785175
2005-06-01,0.0856829036888364
2005-07-01,0.0857310827891437
2005-08-01,0.086313830175696
2005-09-01,0.087400755550737
2005-10-01,0.0884021125097564
2005-11-01,0.0895768237439564
2005-12-01,0.090270653811265
2006-01-01,0.0906267372657854
2006-02-01,0.0911041620922686
2006-03-01,0.0910243921077192
2006-04-01,0.0910561526452932
2006-05-01,0.090687669380036
2006-06-01,0.0900233322572086
2006-07-01,0.0896464026635976
2006-08-01,0.0892996970505165
2006-09-01,0.0895968453381826
2006-10-01,0.0901964387358282
2006-11-01,0.0910768431677398
2006-12-01,0.0919908466399635
2007-01-01,0.0926628400068292
2007-02-01,0.0930033792208541
2007-03-01,0.09276297926478
2007-04-01,0.0924331032953066
2007-05-01,0.0916991689964079
2007-06-01,0.0911758098984395
2007-07-01,0.0909265999531769
2007-08-01,0.0905777915850677
2007-09-01,0.0906688373602386
2007-10-01,0.0904384473516519
2007-11-01,0.0903357484275416
2007-12-01,0.0904038314814088
2008-01-01,0.0901748272026454
2008-02-01,0.090221154005078
2008-03-01,0.0898207456159882
2008-04-01,0.0892322296183416
2008-05-01,0.0886398521604465
2008-06-01,0.0877439714655365
2008-07-01,0.0871788400765503
